Name,CompanyType,ValidationStatus,Phone_Type,Phone_Number,Email_Type,Email_Value,Email_Active,TaxID,Identifiers_Type,Identifiers_Value,Identifiers_Status,Address Input,Address Line 1,Address Line 2,City,State or Province,Country,Postal Code,Zip5,Zip4
Baker Ltd,LLC,In Review,Office,(780) 362-4627,Support,duane.ballard@baker.com,False,TAX76713,DUNS,Jd19196,Inactive,"481 Armstrong Ports Suite 365, Apt. 218, West Deborahburgh, NY 37168-3525",481 Armstrong Ports Suite 365,Apt. 218,West Deborahburgh,NY,USA,37168-3525,37168,3525
Huang-Malone,Partnership,Rejected,Fax,(518) 807-6045,Support,zachary.mcdowell@huangmalone.com,True,TAX15396,EIN,iy49947,Inactive,"5315 Felicia Plaza, Suite 202, Wallacechester, GU 94424-4576",5315 Felicia Plaza,Suite 202,Wallacechester,GU,USA,94424-4576,94424,4576
"Miller, Anderson and Lutz",Private,Approved,Mobile,(772) 488-5250,Support,tammie.martinez@miller.com,True,TAX41061,EIN,Nf01304,Active,"817 Drew Plaza Apt. 764, New Erinstad, PA 32763-2810",817 Drew Plaza Apt. 764,,New Erinstad,PA,USA,32763-2810,32763,2810
Martinez-Fuentes,Partnership,Rejected,Home,(748) 757-4377,HR,elizabeth.lewis@martinezfuentes.com,False,TAX39092,DUNS,qo37442,Expired,"214 Teresa Flat Apt. 246, Apt. 066, West Dennismouth, IL 77702-5941",214 Teresa Flat Apt. 246,Apt. 066,West Dennismouth,IL,USA,77702-5941,77702,5941
"Stone, Harrison and Warner",Private,Rejected,Home,(201) 972-8994,Personal,michael.leon@stone.com,True,TAX71595,PAN,fB12747,Active,"671 Brown Loop, Suite 443, Lake Gerald, MS 28651-2957",671 Brown Loop,Suite 443,Lake Gerald,MS,USA,28651-2957,28651,2957
Mann-Cowan,Public,In Review,Home,(403) 680-8529,HR,catherine.martinez@manncowan.com,True,TAX72082,EIN,Ny53127,Expired,"6276 Fletcher Heights, Apt. 818, South Karenville, HI 30850-8003",6276 Fletcher Heights,Apt. 818,South Karenville,HI,USA,30850-8003,30850,8003
Conrad-Whitney,Non-Profit,Pending,Mobile,(416) 771-8804,Sales,jeremy.garcia@conradwhitney.com,True,TAX71508,DUNS,cd85950,Active,"277 David Flat Suite 800, West Diana, NV 55853-1891",277 David Flat Suite 800,,West Diana,NV,USA,55853-1891,55853,1891
Griffin PLC,Non-Profit,Pending,Office,(335) 872-4883,Business,patrick.phillips@griffin.com,True,TAX55397,GST,EW67760,Expired,"40275 Blake Stream, Suite 954, Port Tamara, MT 33998-6378",40275 Blake Stream,Suite 954,Port Tamara,MT,USA,33998-6378,33998,6378
Allen-Brown,Non-Profit,Pending,Office,(292) 763-5924,HR,michele.bird@allenbrown.com,False,TAX91041,PAN,vl72275,Active,"55827 Joseph Island Apt. 669, Apt. 099, Jacquelinemouth, FL 43237-6092",55827 Joseph Island Apt. 669,Apt. 099,Jacquelinemouth,FL,USA,43237-6092,43237,6092
"Herrera, Holmes and Pena",Partnership,Pending,Office,(338) 362-6268,Support,mandy.williamson@herrera.com,True,TAX79243,DUNS,CW48288,Expired,"472 Adams Mills Apt. 353, Apt. 795, Romerobury, ME 87622-2806",472 Adams Mills Apt. 353,Apt. 795,Romerobury,ME,USA,87622-2806,87622,2806
Rios-Reed,Non-Profit,Approved,Mobile,(270) 250-1843,Business,jason.hall@riosreed.com,False,TAX92016,DUNS,jj59626,Expired,"364 Alexander Valleys Suite 921, Suite 249, Fowlerview, PW 18541-4798",364 Alexander Valleys Suite 921,Suite 249,Fowlerview,PW,USA,18541-4798,18541,4798
Morales-Simpson,LLC,Pending,Mobile,(496) 826-6502,Business,tiffany.jackson@moralessimpson.com,False,TAX83520,DUNS,kF63024,Pending,"98059 Wilson Fords Apt. 287, Cynthiamouth, NJ 42902-9165",98059 Wilson Fords Apt. 287,,Cynthiamouth,NJ,USA,42902-9165,42902,9165
Mckinney and Sons,Public,Validated,Mobile,(740) 351-9392,Sales,jeffrey.lee@mckinney.com,True,TAX35994,DUNS,VM73969,Inactive,"2650 Donald Wells Apt. 330, East Curtis, PW 99296-5008",2650 Donald Wells Apt. 330,,East Curtis,PW,USA,99296-5008,99296,5008
Smith-Sanders,LLC,Rejected,Office,(400) 262-8627,Business,brenda.richard@smithsanders.com,False,TAX53620,DUNS,lG35768,Inactive,"0615 Patrick Lodge, South Jennifershire, ND 28342-4381",0615 Patrick Lodge,,South Jennifershire,ND,USA,28342-4381,28342,4381
Lawrence-Moore,Public,In Review,Home,(246) 511-8584,HR,kent.miranda@lawrencemoore.com,False,TAX70990,DUNS,Fk14112,Expired,"717 White Causeway Suite 402, Patelstad, TX 61875-9022",717 White Causeway Suite 402,,Patelstad,TX,USA,61875-9022,61875,9022
"Johnson, Coleman and Rodriguez",Government,Approved,Home,(686) 604-4373,Sales,victoria.mcbride@johnson.com,True,TAX84081,PAN,UT16250,Inactive,"26376 Jessica Dam Suite 954, Coopertown, AL 80475-9538",26376 Jessica Dam Suite 954,,Coopertown,AL,USA,80475-9538,80475,9538
Foley-Sanchez,Private,Rejected,Mobile,(401) 229-8842,Support,amy.herrera@foleysanchez.com,True,TAX60678,DUNS,NQ27262,Inactive,"71324 Russell Falls, South Annette, NC 45377-4189",71324 Russell Falls,,South Annette,NC,USA,45377-4189,45377,4189
Johnson PLC,Partnership,Validated,Fax,(320) 973-7974,Sales,ronnie.johnston@johnson.com,True,TAX68112,EIN,pa77310,Active,"26665 Reilly Springs, Apt. 294, Port Vanessaville, ND 45596-7615",26665 Reilly Springs,Apt. 294,Port Vanessaville,ND,USA,45596-7615,45596,7615
"Parks, Vincent and Reyes",Public,Approved,Home,(637) 703-2694,Personal,alex.villarreal@parks.com,True,TAX72048,DUNS,Wk75339,Pending,"00569 Michael Road, Apt. 659, Mortontown, LA 50051-4779",00569 Michael Road,Apt. 659,Mortontown,LA,USA,50051-4779,50051,4779
Fleming-James,Partnership,Pending,Office,(679) 615-6572,Sales,dylan.meyer@flemingjames.com,True,TAX67948,PAN,ML77991,Active,"37375 Elizabeth Drives, Apt. 294, Walkerton, NY 15157-3159",37375 Elizabeth Drives,Apt. 294,Walkerton,NY,USA,15157-3159,15157,3159
"Valdez, Henry and Byrd",Non-Profit,Rejected,Office,(422) 649-3854,Support,sharon.walsh@valdez.com,False,TAX14445,TIN,rH16474,Inactive,"839 Dawn Spring Apt. 860, Lake Trevor, OR 89606-9950",839 Dawn Spring Apt. 860,,Lake Trevor,OR,USA,89606-9950,89606,9950
Henry and Sons,Public,Rejected,Home,(886) 656-9855,Sales,amy.wilson@henry.com,True,TAX40026,DUNS,kP07352,Expired,"0323 Brown Parks Suite 574, Jonesberg, GU 97642-3225",0323 Brown Parks Suite 574,,Jonesberg,GU,USA,97642-3225,97642,3225
Marks-Smith,Public,In Review,Home,(750) 203-8544,Support,amy.woods@markssmith.com,False,TAX29889,DUNS,PQ45601,Expired,"4832 Gay Summit, Apt. 919, Garnerport, NJ 95334-9501",4832 Gay Summit,Apt. 919,Garnerport,NJ,USA,95334-9501,95334,9501
Jackson-Bailey,Partnership,Pending,Fax,(533) 899-2202,Personal,makayla.hooper@jacksonbailey.com,True,TAX44951,EIN,ov83896,Inactive,"007 Hughes Branch Suite 669, North Christine, NE 27078-3698",007 Hughes Branch Suite 669,,North Christine,NE,USA,27078-3698,27078,3698
Bradley-Murray,Public,Rejected,Office,(209) 999-5081,Support,meredith.olson@bradleymurray.com,False,TAX35020,EIN,LZ86270,Inactive,"359 Jeremy Land, Olsenmouth, IL 46724-6054",359 Jeremy Land,,Olsenmouth,IL,USA,46724-6054,46724,6054
"Santana, Williams and Cannon",LLC,Pending,Home,(360) 776-1340,HR,ricky.gibson@santana.com,False,TAX44027,TIN,Vm73818,Pending,"07206 Quinn Spring, Port Jessicatown, NJ 27752-8662",07206 Quinn Spring,,Port Jessicatown,NJ,USA,27752-8662,27752,8662
"Kemp, Mcguire and Clark",Private,Approved,Fax,(591) 362-5929,Business,jennifer.davis@kemp.com,True,TAX15319,TIN,LQ94232,Pending,"735 Roberson Street, Suite 185, South Sarahfurt, SC 81601-3728",735 Roberson Street,Suite 185,South Sarahfurt,SC,USA,81601-3728,81601,3728
Spence-Morris,Non-Profit,Validated,Office,(463) 620-5196,Sales,tina.thomas@spencemorris.com,False,TAX36598,DUNS,XL72254,Pending,"22005 Mike Crossing, Suite 664, East Bobbyton, DC 28744-4572",22005 Mike Crossing,Suite 664,East Bobbyton,DC,USA,28744-4572,28744,4572
Joseph-Turner,Private,Pending,Office,(508) 631-3965,Sales,melissa.nguyen@josephturner.com,True,TAX36766,EIN,vC44014,Pending,"866 Kristen Fall Suite 676, Suite 069, New Christopher, KS 20183-5127",866 Kristen Fall Suite 676,Suite 069,New Christopher,KS,USA,20183-5127,20183,5127
"Fletcher, Berry and Rojas",Non-Profit,Rejected,Office,(731) 615-6236,Business,cynthia.casey@fletcher.com,True,TAX97446,PAN,hK87866,Pending,"04585 Foster Spring Apt. 583, North Gabriel, ND 86276-3963",04585 Foster Spring Apt. 583,,North Gabriel,ND,USA,86276-3963,86276,3963
"Hansen, Mcpherson and Morse",Private,Pending,Fax,(990) 715-5268,Business,noah.whitaker@hansen.com,True,TAX23994,EIN,vJ80524,Expired,"87385 Dennis Ford, Jefferyville, IL 20772-4855",87385 Dennis Ford,,Jefferyville,IL,USA,20772-4855,20772,4855
Chavez-Neal,Private,Approved,Fax,(703) 773-2192,Business,tamara.weber@chavezneal.com,False,TAX33024,TIN,cZ87941,Expired,"123 Dana Views Apt. 258, East Shannon, AR 76699-4570",123 Dana Views Apt. 258,,East Shannon,AR,USA,76699-4570,76699,4570
"Anderson, Simpson and Reyes",Partnership,Approved,Mobile,(865) 573-7546,Sales,juan.hunter@anderson.com,False,TAX42103,DUNS,ya98788,Expired,"83317 Julia Lock, Apt. 677, Coxchester, ID 55143-3081",83317 Julia Lock,Apt. 677,Coxchester,ID,USA,55143-3081,55143,3081
Garcia-Wilson,LLC,Rejected,Fax,(933) 571-6607,HR,melissa.wallace@garciawilson.com,False,TAX72694,DUNS,hx16148,Active,"1905 Aaron Run, Apt. 256, Jamesberg, HI 34598-4668",1905 Aaron Run,Apt. 256,Jamesberg,HI,USA,34598-4668,34598,4668
"Smith, Kelly and Flowers",Non-Profit,Rejected,Mobile,(764) 951-6935,Sales,jerome.vasquez@smith.com,False,TAX71154,LEI,rk44004,Active,"753 Scott Gateway, Suite 580, New Sarah, UT 82455-8253",753 Scott Gateway,Suite 580,New Sarah,UT,USA,82455-8253,82455,8253
"Irwin, Smith and Williams",Private,Validated,Mobile,(314) 358-3377,Business,eugene.robinson@irwin.com,True,TAX12877,TIN,Kk61100,Pending,"2601 Gregory Drive, Apt. 623, West Sheila, SC 83003-8078",2601 Gregory Drive,Apt. 623,West Sheila,SC,USA,83003-8078,83003,8078
"Brown, Jackson and Guerra",Government,Pending,Home,(935) 532-1614,Personal,nicholas.burgess@brown.com,True,TAX50347,EIN,su09739,Pending,"9481 Benjamin Streets, Coopermouth, NM 83816-1182",9481 Benjamin Streets,,Coopermouth,NM,USA,83816-1182,83816,1182
"Ayala, Chase and Hernandez",Public,Validated,Fax,(677) 465-1555,Support,tracy.hayes@ayala.com,False,TAX21704,LEI,Ss12618,Pending,"40409 Shepherd Stream Apt. 900, Suite 038, Williamsbury, AZ 69528-7558",40409 Shepherd Stream Apt. 900,Suite 038,Williamsbury,AZ,USA,69528-7558,69528,7558
"Ramirez, Maxwell and Young",Public,Approved,Office,(217) 216-7966,Sales,ellen.scott@ramirez.com,True,TAX39370,PAN,xS75111,Active,"2054 Pena Cape Suite 391, Apt. 804, Kevinfurt, AL 93980-3215",2054 Pena Cape Suite 391,Apt. 804,Kevinfurt,AL,USA,93980-3215,93980,3215
Caldwell Ltd,Public,Pending,Home,(354) 525-5172,Support,derrick.guzman@caldwell.com,False,TAX35463,DUNS,Fi55152,Active,"25094 Stephanie Terrace Apt. 964, Port Lisa, DE 58513-1075",25094 Stephanie Terrace Apt. 964,,Port Lisa,DE,USA,58513-1075,58513,1075
Ramos Group,Private,Validated,Fax,(335) 325-4078,Business,david.walker@ramos.com,True,TAX62865,TIN,MZ70290,Expired,"106 Wood Estate Suite 571, New Daniellechester, FL 56862-3964",106 Wood Estate Suite 571,,New Daniellechester,FL,USA,56862-3964,56862,3964
Bell and Sons,LLC,Pending,Fax,(334) 256-7372,Support,jonathan.schmidt@bell.com,True,TAX14363,TIN,rB36986,Inactive,"4953 Brittany Circles, Suite 075, Phillipside, PR 28464-6261",4953 Brittany Circles,Suite 075,Phillipside,PR,USA,28464-6261,28464,6261
Fuller Inc,LLC,Approved,Office,(404) 996-3476,HR,jeffrey.mccarty@fuller.com,True,TAX78895,LEI,MD27485,Pending,"24826 Trujillo Village Suite 112, Apt. 496, Jorgeton, NH 90677-9649",24826 Trujillo Village Suite 112,Apt. 496,Jorgeton,NH,USA,90677-9649,90677,9649
Smith PLC,Non-Profit,Validated,Office,(939) 730-7517,Personal,paul.mcdaniel@smith.com,True,TAX70325,PAN,zu90346,Pending,"060 Thomas Brooks Suite 339, Apt. 776, Riveraview, KS 98021-5664",060 Thomas Brooks Suite 339,Apt. 776,Riveraview,KS,USA,98021-5664,98021,5664
"Lambert, Morris and Smith",Government,Rejected,Fax,(728) 825-7186,Business,daniel.stewart@lambert.com,True,TAX32264,GST,cv45425,Active,"3794 Hill Landing Suite 567, South Nathanshire, MT 10960-8128",3794 Hill Landing Suite 567,,South Nathanshire,MT,USA,10960-8128,10960,8128
"Moore, Serrano and Leblanc",Non-Profit,Validated,Office,(703) 571-9219,Sales,adam.king@moore.com,True,TAX85358,PAN,iC37275,Active,"065 Torres Way, Apt. 982, Andreabury, NH 44492-1734",065 Torres Way,Apt. 982,Andreabury,NH,USA,44492-1734,44492,1734
Zamora-Henry,Partnership,Pending,Office,(969) 613-6252,Sales,russell.mosley@zamorahenry.com,True,TAX84937,DUNS,iS27089,Expired,"9012 Clark Branch Apt. 104, Apt. 761, East Emilymouth, MT 30615-8615",9012 Clark Branch Apt. 104,Apt. 761,East Emilymouth,MT,USA,30615-8615,30615,8615
"Reed, Moore and Rogers",Public,Approved,Fax,(281) 788-8739,Sales,maria.fitzgerald@reed.com,False,TAX58097,LEI,GB77477,Inactive,"041 Strickland Ports Suite 955, New Johnburgh, WY 30940-2257",041 Strickland Ports Suite 955,,New Johnburgh,WY,USA,30940-2257,30940,2257
Perry and Sons,LLC,Pending,Office,(845) 459-5276,Sales,megan.palmer@perry.com,False,TAX58435,EIN,Kt51166,Expired,"942 Thompson Coves, Suite 988, Brandonville, MA 19104-4275",942 Thompson Coves,Suite 988,Brandonville,MA,USA,19104-4275,19104,4275
Bates Inc,Partnership,Pending,Mobile,(368) 657-9101,Personal,deborah.blevins@bates.com,False,TAX72265,PAN,rW14200,Active,"3323 William Tunnel Apt. 199, Kevinland, OR 82351-8615",3323 William Tunnel Apt. 199,,Kevinland,OR,USA,82351-8615,82351,8615
Thomas PLC,Partnership,Pending,Office,(367) 424-2439,Personal,nicole.medina@thomas.com,True,TAX77790,PAN,Vi05225,Inactive,"197 Morgan Ports, Suite 673, North Jacob, SC 56066-8534",197 Morgan Ports,Suite 673,North Jacob,SC,USA,56066-8534,56066,8534
"James, Garrett and Davis",Government,Validated,Office,(418) 500-9916,Personal,william.jenkins@james.com,False,TAX99169,DUNS,vg98624,Active,"1655 Gregg Vista, Cooperchester, NV 55024-7678",1655 Gregg Vista,,Cooperchester,NV,USA,55024-7678,55024,7678
Smith and Sons,Government,Validated,Home,(989) 507-5057,Support,william.wilson@smith.com,False,TAX52676,LEI,fz88325,Pending,"833 Eric Shore Suite 419, North Codyport, MP 54713-5257",833 Eric Shore Suite 419,,North Codyport,MP,USA,54713-5257,54713,5257
"Clark, Deleon and Williams",Government,Approved,Office,(961) 532-5960,HR,taylor.munoz@clark.com,True,TAX77234,EIN,vW71900,Active,"603 Williamson Bridge, Apt. 704, Charlesburgh, CO 17150-5847",603 Williamson Bridge,Apt. 704,Charlesburgh,CO,USA,17150-5847,17150,5847
Hanson-Walker,Government,Approved,Mobile,(237) 632-2904,Personal,thomas.parker@hansonwalker.com,False,TAX39449,PAN,Pw47346,Inactive,"36473 Thomas Vista, Apt. 140, Lake Patricia, NJ 65747-2410",36473 Thomas Vista,Apt. 140,Lake Patricia,NJ,USA,65747-2410,65747,2410
"Jenkins, Jones and Mcintosh",Partnership,Rejected,Mobile,(894) 349-3234,Support,samuel.miller@jenkins.com,False,TAX96087,EIN,zp14396,Active,"169 Luke Manor, Penningtonfort, WY 89696-9719",169 Luke Manor,,Penningtonfort,WY,USA,89696-9719,89696,9719
Jones-Brennan,LLC,Approved,Office,(420) 479-3378,Support,jason.williams@jonesbrennan.com,True,TAX52336,EIN,cA59052,Inactive,"2196 Evan Motorway, Apt. 010, Kyleville, OK 76855-8426",2196 Evan Motorway,Apt. 010,Kyleville,OK,USA,76855-8426,76855,8426
Mendez PLC,Partnership,Approved,Fax,(347) 398-1596,Personal,todd.sharp@mendez.com,False,TAX68664,PAN,pz72225,Active,"282 Stanley Passage, South Katherine, ME 20449-2965",282 Stanley Passage,,South Katherine,ME,USA,20449-2965,20449,2965
Duran LLC,Public,Validated,Mobile,(315) 625-5487,HR,lance.gibson@duran.com,True,TAX32390,PAN,IY01681,Expired,"13063 Higgins Camp, New Russell, NM 75533-5729",13063 Higgins Camp,,New Russell,NM,USA,75533-5729,75533,5729
Bell-Romero,Government,Pending,Mobile,(848) 314-4948,Personal,betty.walker@bellromero.com,False,TAX38193,PAN,jT27186,Pending,"409 Jeff Circle Apt. 281, Apt. 088, Livingstonport, SD 20853-3541",409 Jeff Circle Apt. 281,Apt. 088,Livingstonport,SD,USA,20853-3541,20853,3541
"Wilson, Perez and Williams",Government,In Review,Home,(965) 446-4984,Personal,nicole.snyder@wilson.com,False,TAX20098,LEI,yb60178,Expired,"6281 Santos Forge, Apt. 684, Port Heather, KY 21528-4924",6281 Santos Forge,Apt. 684,Port Heather,KY,USA,21528-4924,21528,4924
Morales Group,LLC,Validated,Home,(729) 978-4512,Business,mark.lyons@morales.com,True,TAX70555,PAN,NI28113,Pending,"27114 Garrett Drive Suite 813, Heatherton, NJ 36184-9086",27114 Garrett Drive Suite 813,,Heatherton,NJ,USA,36184-9086,36184,9086
Smith LLC,Public,Validated,Home,(415) 560-8665,Personal,natalie.davenport@smith.com,True,TAX34304,DUNS,Db79961,Inactive,"047 Lisa Causeway Apt. 841, Apt. 382, Lake Sean, ND 72587-2094",047 Lisa Causeway Apt. 841,Apt. 382,Lake Sean,ND,USA,72587-2094,72587,2094
White PLC,Public,Rejected,Office,(840) 881-7248,HR,david.adams@white.com,False,TAX26440,PAN,Kc23157,Expired,"324 Theresa Valleys, Apt. 358, Lake Ronald, HI 86572-2230",324 Theresa Valleys,Apt. 358,Lake Ronald,HI,USA,86572-2230,86572,2230
Henson-Bailey,Government,Pending,Office,(281) 459-4802,Personal,theresa.kim@hensonbailey.com,True,TAX65379,LEI,oQ42368,Pending,"93381 Rosales Camp, East Michael, IN 96789-5600",93381 Rosales Camp,,East Michael,IN,USA,96789-5600,96789,5600
Allen-Smith,Private,Validated,Office,(836) 787-1000,Business,stephen.santana@allensmith.com,False,TAX43950,EIN,MF43997,Active,"177 Stephanie Estates Suite 425, Apt. 889, Perrystad, AZ 50990-8196",177 Stephanie Estates Suite 425,Apt. 889,Perrystad,AZ,USA,50990-8196,50990,8196
Ford and Sons,Partnership,Validated,Mobile,(332) 570-7756,Personal,meredith.gonzales@ford.com,False,TAX22970,DUNS,CQ35388,Active,"6699 Franco Groves Apt. 693, Suite 305, Milesberg, CT 81257-5921",6699 Franco Groves Apt. 693,Suite 305,Milesberg,CT,USA,81257-5921,81257,5921
Jenkins-Mcbride,LLC,Rejected,Fax,(586) 915-4544,Support,laura.perez@jenkinsmcbride.com,True,TAX82646,PAN,vl50970,Expired,"518 Boyd Forge, Apt. 613, Luisborough, FM 90372-2579",518 Boyd Forge,Apt. 613,Luisborough,FM,USA,90372-2579,90372,2579
Spencer PLC,Private,Pending,Fax,(277) 809-4512,Personal,taylor.brown@spencer.com,True,TAX24793,LEI,fA17772,Pending,"90609 Cook Track Apt. 069, Apt. 809, Timothytown, VI 41085-6528",90609 Cook Track Apt. 069,Apt. 809,Timothytown,VI,USA,41085-6528,41085,6528
Harding Inc,LLC,Pending,Mobile,(338) 353-7426,Business,heather.whitaker@harding.com,True,TAX97229,LEI,jP74951,Inactive,"652 Johnson Light, Lake Laurenchester, GA 14630-2813",652 Johnson Light,,Lake Laurenchester,GA,USA,14630-2813,14630,2813
"Blair, Nichols and Edwards",Private,Pending,Mobile,(658) 512-1166,Sales,thomas.parker@blair.com,True,TAX98348,DUNS,EY76015,Pending,"196 James Ford Suite 281, Suite 899, Leemouth, RI 26791-5533",196 James Ford Suite 281,Suite 899,Leemouth,RI,USA,26791-5533,26791,5533
Ross Group,Partnership,Validated,Home,(208) 395-9402,Sales,john.morrison@ross.com,True,TAX74604,PAN,lT58071,Expired,"196 Chapman Forks, Apt. 932, Millerborough, SD 91301-7693",196 Chapman Forks,Apt. 932,Millerborough,SD,USA,91301-7693,91301,7693
"Thomas, Boone and James",Private,Rejected,Office,(727) 303-6392,Business,bailey.munoz@thomas.com,True,TAX52028,GST,ru06102,Active,"13126 Christy Corners, West Amyfort, GA 13967-4290",13126 Christy Corners,,West Amyfort,GA,USA,13967-4290,13967,4290
Foster-Martinez,Partnership,Pending,Home,(987) 321-4238,Sales,douglas.taylor@fostermartinez.com,True,TAX57365,TIN,gt18274,Inactive,"63287 Johnston Brooks Suite 531, Crawfordborough, GU 23550-8977",63287 Johnston Brooks Suite 531,,Crawfordborough,GU,USA,23550-8977,23550,8977
"Ellis, Lewis and Chang",Government,In Review,Mobile,(981) 504-6151,Support,jeffrey.murphy@ellis.com,True,TAX90432,LEI,ny03915,Pending,"696 Rhodes Stream Suite 510, Lake Brent, NM 21974-9818",696 Rhodes Stream Suite 510,,Lake Brent,NM,USA,21974-9818,21974,9818
Bullock PLC,Private,In Review,Fax,(947) 268-2407,Sales,alejandro.lee@bullock.com,True,TAX58035,TIN,Sc61820,Inactive,"3340 Jody Station, Apt. 532, Port Kristinton, CT 67173-2856",3340 Jody Station,Apt. 532,Port Kristinton,CT,USA,67173-2856,67173,2856
"Hughes, Bond and Gonzalez",Non-Profit,Approved,Fax,(638) 885-5962,Personal,ashley.nelson@hughes.com,False,TAX14657,PAN,md73383,Active,"16896 Paul Squares Suite 847, East Scott, WY 93375-2503",16896 Paul Squares Suite 847,,East Scott,WY,USA,93375-2503,93375,2503
Stewart-Lee,Government,Rejected,Home,(327) 753-1832,HR,jeff.jones@stewartlee.com,True,TAX25532,GST,yB68253,Expired,"645 Morgan Track, Apt. 724, Adamshire, NE 55044-4381",645 Morgan Track,Apt. 724,Adamshire,NE,USA,55044-4381,55044,4381
"Hamilton, Taylor and Sandoval",Government,Pending,Office,(601) 965-8886,Support,kevin.adkins@hamilton.com,True,TAX31193,EIN,ZA95716,Pending,"28126 Schultz Skyway Apt. 749, Housechester, TN 53972-3638",28126 Schultz Skyway Apt. 749,,Housechester,TN,USA,53972-3638,53972,3638
Mcguire Group,Government,Pending,Home,(232) 293-6129,Business,thomas.mejia@mcguire.com,True,TAX73482,EIN,AH67146,Expired,"835 Damon Ways, Apt. 509, Turnerfort, IN 12267-2854",835 Damon Ways,Apt. 509,Turnerfort,IN,USA,12267-2854,12267,2854
Phillips LLC,Non-Profit,Rejected,Office,(906) 975-3441,Business,donald.adams@phillips.com,True,TAX44335,TIN,yQ43538,Pending,"68874 Jones Junctions, Apt. 993, New Kevin, MS 95889-4705",68874 Jones Junctions,Apt. 993,New Kevin,MS,USA,95889-4705,95889,4705
Boone LLC,LLC,Approved,Home,(379) 820-6752,Support,becky.warner@boone.com,True,TAX20899,TIN,hQ07409,Inactive,"12913 Watson Walks Suite 340, Anthonyville, CO 59374-6898",12913 Watson Walks Suite 340,,Anthonyville,CO,USA,59374-6898,59374,6898
Holden-Thomas,Partnership,Pending,Fax,(947) 389-3896,Business,steven.walsh@holdenthomas.com,True,TAX79683,PAN,CN18094,Pending,"7630 Kristen Square, Apt. 671, Joannamouth, WI 88679-6320",7630 Kristen Square,Apt. 671,Joannamouth,WI,USA,88679-6320,88679,6320
"Kline, Holt and Hernandez",Public,Rejected,Mobile,(758) 745-5812,HR,james.chen@kline.com,True,TAX26874,DUNS,nI28839,Active,"90032 Lewis Road, North Brian, MD 19617-3679",90032 Lewis Road,,North Brian,MD,USA,19617-3679,19617,3679
"Santiago, Smith and Thompson",LLC,Approved,Office,(501) 305-8371,Personal,justin.sanchez@santiago.com,True,TAX94718,PAN,ft00606,Inactive,"4015 Aguilar Prairie Apt. 855, South Angelachester, FM 35240-7886",4015 Aguilar Prairie Apt. 855,,South Angelachester,FM,USA,35240-7886,35240,7886
Marks-Smith,LLC,In Review,Mobile,(705) 683-3739,Business,randy.guzman@markssmith.com,False,TAX61809,TIN,mj85570,Active,"122 Cheryl Falls, Lake Jesse, CA 29448-8670",122 Cheryl Falls,,Lake Jesse,CA,USA,29448-8670,29448,8670
Walker-Reynolds,Public,In Review,Office,(985) 736-3729,Support,andrew.jones@walkerreynolds.com,False,TAX11364,DUNS,nW86159,Active,"30524 Thompson Via Apt. 840, Apt. 601, Cassandrafort, HI 50838-5910",30524 Thompson Via Apt. 840,Apt. 601,Cassandrafort,HI,USA,50838-5910,50838,5910
Lambert Ltd,Partnership,Pending,Office,(988) 943-4214,Personal,kristina.hernandez@lambert.com,False,TAX85950,PAN,NP06743,Pending,"7437 Curtis Glens, Suite 836, South Lynn, ND 18457-7406",7437 Curtis Glens,Suite 836,South Lynn,ND,USA,18457-7406,18457,7406
Zamora Inc,Government,In Review,Home,(641) 211-8882,Sales,nicole.collins@zamora.com,True,TAX70124,LEI,Uj72681,Active,"299 Jones Lake, Suite 957, Lake Chelseashire, VA 58901-4974",299 Jones Lake,Suite 957,Lake Chelseashire,VA,USA,58901-4974,58901,4974
Garcia and Sons,Government,Pending,Office,(657) 749-3666,Personal,jeffery.bennett@garcia.com,True,TAX63694,EIN,uV68636,Active,"814 Emma Lake, Suite 014, Port Sandra, CO 23388-9375",814 Emma Lake,Suite 014,Port Sandra,CO,USA,23388-9375,23388,9375
Dyer-Thornton,Public,Validated,Office,(717) 558-4824,Personal,alison.powell@dyerthornton.com,False,TAX70699,PAN,AZ71511,Inactive,"79571 Jack Haven, East Brooke, IN 93293-5881",79571 Jack Haven,,East Brooke,IN,USA,93293-5881,93293,5881
James Inc,Partnership,Approved,Fax,(638) 841-7643,Personal,melissa.flores@james.com,False,TAX92614,PAN,BY60860,Inactive,"0579 Gomez Ridges, Apt. 543, Port Danielview, CA 38011-7482",0579 Gomez Ridges,Apt. 543,Port Danielview,CA,USA,38011-7482,38011,7482
"Scott, Murphy and Barr",Non-Profit,Pending,Home,(370) 649-1910,Support,chad.barrett@scott.com,True,TAX98211,TIN,xE49938,Inactive,"889 Jacqueline Prairie, Apt. 200, Murphybury, WV 16587-2424",889 Jacqueline Prairie,Apt. 200,Murphybury,WV,USA,16587-2424,16587,2424
"Wright, Neal and Miller",LLC,Approved,Fax,(398) 542-2401,Personal,teresa.adkins@wright.com,False,TAX23748,PAN,kV00479,Pending,"4371 Angela Hollow, South Joseph, WI 58221-9817",4371 Angela Hollow,,South Joseph,WI,USA,58221-9817,58221,9817
